Student_ID,Attendance,Internal_Marks,Final_Marks,Total_Marks,CGPA,Study_Hours,Mode
1,58.52,32.27,42.32,74.58,7.458,4.982382671,Offline
2,48.03,27.87,25.62,53.5,5.35,1.04,Online
3,65.52595556,17.07,19.56,36.64,3.664,2.05,Offline
4,82.3,24.74,24.4,49.14,4.914,1.91,Offline
5,31.39,17.51,24.11,41.62,4.162,1.994330357,Online
6,82.62,18.55,21.17,39.72,3.972,2.37,Offline
7,57.28,31,37.59,68.59,6.859,5.99,Online
8,99.24,31,29.3,60.3,6.03,2,Online
9,35.88,13.41,15.68,29.09,2.909,1.65,Offline
10,82.02,27.07,26.51,53.58,5.358,1.28,Online
11,35.96,14.82,15.08,29.9,2.99,2.63,Online
12,83.96,34.66,36.5,71.16,7.116,5.59,Offline
13,39.76,44.62,42.3,86.91,8.691,5.91,Offline
15,77.7,16.83,20.38,37.2,3.72,2.27,Offline
17,95.2,28.19,27.6,55.79,5.579,2.74,Offline
18,54.22,32.71,43.96,76.67,7.667,4.95,Offline
19,55.82,13.1,15.1,28.2,2.82,2.02,Online
20,66.11442269,19.48,19.85,39.32,3.932,2.04,Offline
21,37.55,18.28,22.46,40.74,4.074,1.6,Offline
22,66.11442269,18.58,23.34,41.92,4.192,2.82,Offline
23,37.26,19.94,25.08,45.02,4.502,2.52,Offline
24,49.01,23.82,23.04,46.86,4.686,1.18,Offline
25,89.77,39.64,43.81,83.45,8.345,3.05,Online
26,50.73,15.7,20.81,36.51,3.651,2.87,Online
27,56.32,38.59,37.58,76.17,7.617,5.98,Online
28,77.33,29.33,30.77,60.09,6.009,2.8,Online
29,56.91,27.08,28.31,55.39,5.539,2.56,Offline
30,66.11442269,19.41,20.11,39.52,3.952,1.2,Offline
31,92.3,27.4,27.82,55.23,5.523,1.45,Offline
32,49.49,25.72,27.74,53.46,5.346,2.32,Offline
33,37.32,47.27,44.73,92,9.2,5.18,Offline
34,89.42,25.62,25.91,51.53,5.153,1.39,Online
35,79.43,50,47.23,97.23,9.723,5.86,Offline
36,42.85,30.72,29.5,60.22,6.022,2.93,Online
37,66.11442269,39.43,36.69,76.12,7.612,4.982382671,Offline
38,48.45,27.08,29.85,56.94,5.694,1.28,Offline
39,92.56,40.62,39.67,80.29,8.029,3.88,Online
40,87.78,39.86,41.52,81.38,8.138,5.39,Offline
41,40.14,19.22,20.63,39.85,3.985,1.19,Online
42,38.6,29.25,40.91,70.16,7.016,4.09,Offline
43,45.67,25.2,26.55,51.75,5.175,1.43,Online
44,46.22,26.78,24.56,51.34,5.134,2.45,Offline
46,85.22,29.81,37.25,67.06,6.706,3.47,Offline
47,38.4,27.03,29.32,56.35,5.635,2.48,Online
48,40.68,19.68,26.37,46.05,4.605,1.03,Offline
49,92.59,23.03,25.69,48.73,4.873,1.2,Offline
51,96.41,20.32,27.9,48.23,4.823,1.33,Offline
52,58.21,22.63,23.63,46.26,4.626,1.78,Offline
53,84.65,36.97,47.5,84.46,8.446,5.72,Offline
54,77.36,23.33,28.2,51.53,5.153,1.14,Online
55,82.05,20.38,21.42,41.8,4.18,2.39,Online
56,82.05,38.15,37.31,75.46,7.546,5.25,Online
57,94.41,25.13,24.09,49.22,4.922,2.86,Online
59,75.27,38.71,46.77,85.48,8.548,3.27,Offline
60,48.96,32.83,39.48,72.31,7.231,4.88,Offline
61,53.69,25.97,35.91,61.88,6.188,5.48,Offline
62,40.53,36.34,36.17,72.51,7.251,4.43,Online
63,51.03,35.1,35.73,70.83,7.083,6.47,Offline
64,41.23,41.76,38.71,80.47,8.047,6.44,Offline
65,77.09,25.5,29.33,54.83,5.483,2.12,Offline
66,30.34,29.67,39.69,69.35,6.935,4.17,Online
67,89.58,38.69,47.51,86.19,8.619,4.12,Online
68,66.11442269,33.42,31.64,65.06,6.506,1.09,Offline
69,88.85,45.3,47.6,92.91,9.291,4.57,Offline
70,65.52595556,37.95,46.72,84.67,8.467,3.14,Offline
71,48.6,16.97,19.16,36.13,3.613,1.38,Offline
72,59.23,27.24,29.79,57.04,5.704,2.4,Online
73,34.88,30.95,28.66,59.62,5.962,2.65,Offline
74,98.32,21.6,30.39,51.99,5.199,1.09,Offline
76,85.37,24.35,23.28,47.63,4.763,1.11,Online
77,88.89,30.39,29.23,59.62,5.962,2.89,Online
78,98.85,26.42,27.27,53.69,5.369,1.46,Online
79,50.15,20.71,22.8,43.51,4.351,2.54,Online
80,96.92,28.64,40.25,68.88,6.888,4.982382671,Offline
81,80.32,18.18,21.64,39.82,3.982,1.03,Online
